partner_id,zone,avg_weekly_earnings,historical_claim_rate,forecast_rain_prob,forecast_heat_prob,historical_disruption_frequency,target_premium
P0001,Zone_C,2670.88,0.09913375550340901,0.5768573811327002,0.8759049249998946,0.2901567438782999,86.69
P0002,Zone_D,3438.09,0.09595070186640864,0.4639816981668874,0.9052989990105155,0.0992314261133571,101.3
P0003,Zone_A,2975.21,0.019331285678496596,0.11870909550911146,0.49295697165586005,0.2878574525904581,60.08
P0004,Zone_C,2211.55,0.08257712307232856,0.9805682270607236,0.3301559503156044,0.29870482349148775,71.59
P0005,Zone_C,2050.79,0.03102366011438583,0.21469588746335544,0.10680070400236363,0.22793070143651217,34.17
P0006,Zone_D,2745.96,0.11324072762100797,0.06723418009056115,0.953402879382095,0.29528593294795547,69.56
P0007,Zone_A,1839.88,0.08171106891377442,0.5948473795019096,0.06022694490029745,0.19238494489177593,40.67
P0008,Zone_A,3415.73,0.10523188908916944,0.7388666771330327,0.29765027756828044,0.11488544579402259,91.32
P0009,Zone_C,3089.72,0.015834206084333797,0.03244344604718696,0.29806620117000415,0.1592489714164052,47.68
P0010,Zone_B,2265.41,0.021870882246412447,0.6587176387270222,0.3204012861402149,0.1983902338446965,59.03
P0011,Zone_C,1643.43,0.1102852743287755,0.5322918759514544,0.16428684327240928,0.06827039050675375,35.29
P0012,Zone_C,3176.94,0.02009180703981427,0.10326500887504841,0.7831614309236972,0.20558581615431154,72.36
P0013,Zone_C,2442.73,0.019975941887136202,0.17252387694636206,0.12249786196598922,0.2952944591905736,40.73
P0014,Zone_C,3118.91,0.011695186532884243,0.5679742973160805,0.6349066591531628,0.09752691244593191,85.87
P0015,Zone_D,1702.79,0.1439101957619272,0.2963576135132884,0.12384602670581746,0.24814877907209582,31.99
P0016,Zone_A,2200.31,0.11325117032426096,0.9383157286513161,0.07053563759295656,0.27697469844490485,62.77
P0017,Zone_D,2502.62,0.05945519719028898,0.8187402294840508,0.9094295036858765,0.2859253982050552,91.44
P0018,Zone_D,2523.49,0.05151498138027173,0.983567206513663,0.19012876631870568,0.2900339011013618,77.08
P0019,Zone_D,2274.97,0.05895845216441893,0.259670838950414,0.8212501545597043,0.180364909680368,58.44
P0020,Zone_C,2811.42,0.11845149436536544,0.969723632797977,0.5446308711071358,0.2943269769978759,98.06
P0021,Zone_B,1966.19,0.102591885549858,0.43123386979155787,0.0778565196087696,0.2393275517836097,39.64
P0022,Zone_A,2428.81,0.035927379501445506,0.3475187953137546,0.9554481914380675,0.09041785905924048,67.75
P0023,Zone_B,2560.15,0.03437530694677181,0.05034952696935324,0.24696116699189252,0.1692250266169925,39.07
P0024,Zone_D,2757.22,0.023775390959875624,0.05276525785960262,0.8596453453526065,0.229582793843001,63.67
P0025,Zone_D,2855.81,0.10244238075818732,0.6920112559466547,0.16881000578456418,0.11183507895477084,69.69
P0026,Zone_B,1937.68,0.11701217271104301,0.4579289944340279,0.8539428821418529,0.21015379588722183,57.59
P0027,Zone_B,1732.94,0.047106499965500565,0.2265216260361057,0.013228812905293985,0.21665011976165482,27.22
P0028,Zone_B,3138.84,0.012932294544327793,0.6139703063252326,0.5117804565694807,0.09067493595214147,83.94
P0029,Zone_D,2666.16,0.02150403344669983,0.2528581182501112,0.7694425794215568,0.1912713281131891,66.37
P0030,Zone_D,2125.76,0.14550040487830426,0.5776317543444226,0.9347955174927833,0.24290672774465194,70.12
P0031,Zone_A,3275.58,0.05136226884683884,0.35920874698269034,0.909202136206487,0.17472391613398547,92.57
P0032,Zone_A,2557.84,0.11769124069733869,0.823552226611819,0.8196248695476449,0.05302577919402686,86.73
P0033,Zone_D,3089.65,0.09745289963959691,0.8206961607667793,0.8881913496613041,0.05225961726982305,106.89
P0034,Zone_B,2533.76,0.06347154955140542,0.4773503981224013,0.1992196858370765,0.13925733599250306,54.21
P0035,Zone_B,3530.37,0.03879621670737771,0.3508191093350156,0.28418429571172876,0.2815485171079455,75.66
P0036,Zone_A,3377.67,0.0269940985423169,0.36255979655909454,0.2889685249210585,0.1071691949009022,68.34
P0037,Zone_D,2375.52,0.09610181552544131,0.8057145256682179,0.3770539310016988,0.2085909222179218,70.0
P0038,Zone_A,2985.79,0.1184487292892903,0.328179482797612,0.3933206703851887,0.10551896767333015,63.56
P0039,Zone_A,2822.69,0.10014659549575829,0.20905937370684602,0.5445553246546755,0.13041749741488717,60.19
